,Patient,Direction,Magnitude,Cz_1,Cz_2,Cz_3,Cz_4,Agonist_1,Agonist_2,Agonist_3,Agonist_4,Agonist_5,Agonist_6,Agonist_7,Agonist_8
34,HOA07,270,7.5,4.865829654,0.023489161,1.84e-09,0.117305294,3.318987445,0.020508431,0.039034533,0.088734078,1.655817072,4.44e-12,0.038113874,0.3
35,HOA07,270,10,3.36277998,0.012058907,6.61e-11,0.117552895,2.331266766,0.001384763,0.059999999,0.173573883,2.641099241,1.11e-06,0.02101047,0.249999999
36,HOA08,90,5,7.361066432,0.010267644,3.71e-06,0.138242313,8.192821404,0.016884066,0.039969012,0.1295729,2.624619865,5.92e-11,0.002890217,0.200569405
37,HOA08,90,7.5,5.423177584,0.004593627,1.63e-09,0.128585273,4.229753504,0.023142741,0.008263272,0.117382512,1.975752921,5.54e-11,0.001266515,0.170459401
38,HOA08,90,10,3.324423715,0.00022623,1.62e-09,0.12219479,3.112702424,0.017364002,0.011845743,0.116286116,1.675245636,1.93e-11,0.013272983,0.185176604
39,HOA08,270,5,6.371931925,0.013810066,0.005179829,0.141730461,2.783160507,0.020103272,0.01053377,0.118402949,1.554456594,8.78e-07,1.05e-06,0.1753968
40,HOA08,270,7.5,4.754995324,0.013638365,0.005795446,0.122441013,5.04020825,0.007418708,6.74e-09,0.160162268,1.758796739,3.69e-08,2.76e-08,0.299999961
41,HOA08,270,10,2.819186621,0.006653814,0.006077469,0.120437973,2.607568475,0.006952778,0.018891357,0.154397284,1.589807068,1.94e-10,9e-06,0.295512455
42,HOA09,90,5,10.167329,0.035998954,2.25e-09,0.150332856,9.329021538,0.020408978,0.046209699,0.128462068,4.125122187,1.94e-09,9.99e-07,0.20097048
43,HOA09,90,7.5,5.446082552,0.018567492,5.27e-09,0.148688447,4.827447307,0.023047194,0.029031124,0.123532809,2.061265426,1.17e-09,0.001959384,0.189926505
44,HOA09,90,10,3.974170611,0.012247532,8.44e-10,0.136338361,3.916189812,0.011603043,0.040148287,0.112362532,2.391487003,1.28e-10,0.016361951,0.20127667
45,HOA09,270,5,5.775669576,0.017470678,3.11e-11,0.149584548,4.754704947,0.014831914,0.052172013,0.113247878,1.533399081,2.46e-10,0.003325783,0.187692789
46,HOA09,270,7.5,4.316272292,0.012607267,1.38e-08,0.146212053,4.543873442,0.014117851,0.023770714,0.114449293,1.436746939,5.57e-09,0.003730711,0.187387587
47,HOA09,270,10,3.392632697,0.008279055,1.89e-09,0.143824616,3.620631557,0.00894173,0.035938876,0.114376448,1.327256581,1e-06,0.002344019,0.183872405
48,HOA11,90,5,3.564342926,0.010592081,1.82e-11,0.130495564,6.958575969,0.026813544,0.013798628,0.165525002,3.258155605,4.18e-10,0.014460079,0.299999992
49,HOA11,90,7.5,5.702458595,0.012366365,2.05e-09,0.134573163,7.317940021,0.029410588,0.028064716,0.148449988,2.313645679,2.19e-10,0.008208514,0.209360838
50,HOA11,90,10,5.816747711,0.001441356,3.54e-09,0.10664183,5.865459053,0.029579949,9.75e-07,0.145423652,2.731206188,9.56e-07,0.00500473,0.214323243
51,HOA11,270,5,5.543965083,0.00498658,6.9e-10,0.125614502,4.469748011,0.0170248,0.00115105,0.136351236,2.460637943,1.25e-10,0.016497825,0.1895253
52,HOA11,270,7.5,6.213046771,6.89e-08,8.05e-08,0.119467453,5.576645621,0.017798311,1e-06,0.149415289,1.866143082,2.31e-11,1e-06,0.249999999
53,HOA11,270,10,5.587318544,0.006482101,1.06e-09,0.122868536,5.287391057,0.02004716,1e-06,0.13535518,1.7814433,5.47e-10,0.009530081,0.193543284
54,HOA12,90,5,6.838023043,0.009792332,6.38e-09,0.14348426,4.610191135,0.018346494,0.035280002,0.135289678,1.075880319,2.88e-09,0.005420053,0.200469502
55,HOA12,90,7.5,4.626623999,0.009079521,4.3e-10,0.133776467,3.007382722,0.013371213,0.019871213,0.128642696,1.387208742,5.35e-10,0.00660124,0.21955335
56,HOA12,90,10,2.568019009,8.04e-08,6.07e-08,0.130629818,2.422425294,0.011804228,0.035022676,0.12274454,2.118199893,1e-06,0.006427654,0.203407514
57,HOA12,270,5,5.453955567,0.004906005,8.64e-10,0.143903755,2.00735538,0.001190763,0.023137542,0.128540246,0.773042838,4.96e-10,0.000395735,0.163536602
58,HOA12,270,7.5,4.255983793,0.003787635,8.92e-09,0.13337789,2.531571804,0.000432582,0.021661428,0.142129012,0.539075788,3.81e-09,0.002146761,0.182788744
59,HOA12,270,10,3.676317083,0.00701307,0.006188901,0.121379823,1.835770177,0.001639565,0.01712578,0.134224639,0.53172549,6.99e-10,0.002140228,0.172200832
